 Isotope 	weight	 Coh b 	imag b	 Abs xs	8048f1	8048f2
196Pt 	195.964926	9.89	0	0.72	73.4484	7.06338
198Pt 	197.967869	7.8	0	3.66	73.4484	7.06338
0Au 	196.96655	7.90	0	98.65	74.6093	7.43978
0Hg 	200.59	12.692	0	372.3	75.7429	7.8513
196Hg 	195.965807	30.3	0	3080	75.7429	7.8513
198Hg 	197.966743		0	2	75.7429	7.8513
199Hg 	198.968254	16.9	0	2150	75.7429	7.8513
200Hg 	199.9683		0	60	75.7429	7.8513
201Hg 	200.970277		0	7.8	75.7429	7.8513
202Hg 	201.970617		0	4.89	75.7429	7.8513
204Hg 	203.973467		0	0.43	75.7429	7.8513
0Tl 	204.3833	8.776	0	3.43	76.834	8.26746
203Tl 	202.97232	6.99	0	11.4	76.834	8.26746
205Tl 	204.974401	9.52	0	0.104	76.834	8.26746
0Pb 	207.2	9.405	0	0.171	77.9163	8.6876
204Pb 	203.97302	9.9	0	0.65	77.9163	8.6876
206Pb 	205.97444	9.22	0	0.03	77.9163	8.6876
207Pb 	206.975872	9.28	0	0.699	77.9163	8.6876
208Pb 	207.976627	9.5	0	0.00048	77.9163	8.6876
0Bi 	208.98038	8.532	0	0.0338	78.9836	9.11868
0Po 	209		0		80.357	9.56356
0At 	210		0		81.0728	10.0256
0Rn 	222		0		8.21E+01	10.5058
0Fr 	223		0		83.0893	11.0085
0Ra 	226	10	0	12.8	84.0528	11.5214
0Ac 	227		0		85.0108	12.0359
0Th 	232.0381	10.31	0	7.37	85.9506	12.5632
0Pa 	231.0388	9.1	0	200.6	86.852	12.0915
0U 	238.02891	8.417	0	7.57	87.7559	13.6411
233U 	233	10.1	0	574.7	87.7559	13.6411
234U 	234.0409468	12.4	0	100.1	87.7559	13.6411
235U 	235.0439242	10.47	0	680.9	87.7559	13.6411
238U 	238.0507847	8.402	0	2.68	87.7559	13.6411
0Np 	237	10.55	0	175.9	88.6312	14.2111
0Pu 	244		0		89.4666	14.7895
238Pu 	238	14.1	0	558	89.4666	14.7895
239Pu 	239	7.7	0	1017.3	89.4666	14.7895
240Pu 	240	3.5	0	286.6	89.4666	14.7895
242Pu 	242	8.1	0	18.5	89.4666	14.7895
0Am 	243	8.3	0	75.3	90.2797	15.3821
0Cm 	247		0		9.10772	15.9948
244Cm 	244	9.5	0	16.2	9.10772	15.9948
246Cm 	246	9.3	0	1.36	9.10772	15.9948
248Cm 	248	7.7	0	3	9.10772	15.9948
